ObjType	UniqueId	Name	Description	XSigned	XLSBFirst	XOffsetInt	XOffsetHex	XSizeInBits	XAddrStep	XUnits	XOutputType	XEquation	XPrecision	XRangeLow	XRangeHigh	YSigned	YLSBFirst	YOffsetInt	YOffsetHex	YSizeInBits	YAddrStep	YUnits	YOutputType	YEquation	YPrecision	YRangeLow	YRangeHigh	ZSigned	ZLSBFirst	ZOffsetInt	ZOffsetHex	ZSizeInBits	ZUnits	ZOutputType	ZEquation	ZPrecision	ZRangeLow	ZRangeHigh	BitNumber	BitMask	RowCount	ColCount	IndexCount
		LAMRICH 	 FN1360 Lambda value below which enrichment is requested.																																								
		LMAP 	" Minimum MAP for open loop decels, inches Hg."																																								
		LOMAPH 	" Hysteresis for LMAP, inches Hg."																																								
		MPG_CL_SW 	" MPG mode closed loop switch; 1 -> operate in closed  loop,  0 -> operate in open loop."																																								
		OLITD1 	" Time delay to go open loop at idle, seconds."																																								
		T70LSW 	 7.0L thermactor application switch.																																								
		TP_HYS_OL 	 TP_REL hysteresis for operation in open loop.																																								
		EGOCL1 	 Number of EGO switches required to enter Closed Loop.																																								
		DFSLAM 	 Relative LAMBSE value to exit decel fuel shut-off.																																								
		EGO_CNT_OL 	 Number of EGO switches required in closed loop to return  to open loop control.																																								
		FN301(N) 	 Multiplier for closed throttle as a function of  engine  speed N.																																								
		FN303(N) 	 Multiplier for WOT as a function of engine speed N.																																								
		FN310(WOTTMR) 	 WOT fuel multiplier as a function of time  in  WOT  mode. WOTTMR  is  a  count  up/count down timer to prevent resets during normal shifts.  FN310 is used only within a WOTRPL and WOTRPH RPM range.																																								
		FN325(ECT) 	 Multiplier as a function of ECT for FN1360.																																								
		FN1325L 	 LTMTBL learning/use control table.																																								
		FN1328 	" MPG fuel table, lambdas.  It is a 10 x 8 table of  fuel  economy open loop lambda values as a function of N and MAPPA."																																								
		FN1361 	 Start-up fuel table = an 8 x 10 table  of  lambda  values  as  a function of [FRCSFT * ACT + (1 - FRCSFT) * ECT] and MAPPA.  FN022A is the temperature  normalizing  function.   FN018A  is  the  time   normalizing function.																																								
		FN1362 	 Base fuel table = an 8 x 10 table of lambda values as a function of  [FRCBFT  8  ACT  +  (1  -  FRCBFT)  *  ECT] and MAPPA.  FN022A is the temperature normalizing function.																																								
		FN1362 	 Alternatice FN1362.																																								
		LAMDLT_OL 	 LAMAVE DELTA to allow return to open loop fuel control.																																								
		MPGDEC 	 Lambse decrement when exiting MPG mode.																																								
		OLIDRV 	 Drive Open Loop Idle Fuel Multiplier.																																								
		OLINEUT 	 Neutral Open Loop Idle Fuel Multiplier.																																								
		OLMCL 	 Open loop fuel multiplier for development only.																																								
		PIPNUM 	 Number of PIPs for DFSO exit fuel ramp.																																								
		WOTRPH 	 Maximum RPM to use FN310 for WOT enleanment.																																								
		WOTRPL 	" Minimum RPM to use FN310 for WOT enleanment.  Set to  WOTRPL  to 10,000 RPM to disable use of FN310."																																								
		XAPT 	" Time  elapse  afterwhich  you  leave  Closed  Loop  at  Wide  Open Throttle, to return to Open Loop."																																								
		XMAPPA 	 Calibratable MAPPA value above which APTMR is enabled.																																								
		FN025 	" MAP normalizing function for  Bias,  Peak-to-Peak  and  Transport Delay Tables.  Input = MAP, Output = Table Entry Point."																																								
		FN372(|BIAS/PTPAMP|) 	 Ramp rate multiplier (not a  calibration  item)  - provides  correct  multiplier  to  produce  desired waveform; function of |BIAS/PTPAMP|.  Units are minutes/sec.																																								
		"FN1343(N,MAP) "	" System transport lag time; time delay from  when  a  fuel change  is  made  until  the EGO sensor indicates this change.  Units are REVS.  X-input = FN039 normalized engine  speed,  RPM;  Y-input  =  FN025 normalized  manifold  absolute  pressure,  MAP; output = transport delay, REVS."																																								
		"FN1354(N,MAP) "	" Closed loop Peak-to-Peak amplitude:  units  are  lambdas. X-input  = FN039 normalized engine speed, RPM; Y-input = FN025 normalized manifold absolute pressure, MAP; output = Peak-to-Peak amplitude, PTPAMP."																																								
		"FN1355(N,MAP) "	" Amount of  BIAS  from  stoichiometry:   X-input  =  FN039 normalized  engine  speed,  RPM;  Y-input  =  FN025  normalized  manifold absolute pressure, MAP; output = BIAS from stoichiometry."																																								
		JMPMUL 	 FAM exit LAMBSE reset multipler.																																								
		LAMMAX 	 Maximum closed loop LAMBSE clip.																																								
		LAMMIN 	 Minimum closed loop LAMBSE clip.																																								
		ADAPTM 	 Adaptive learning enable time delay (seconds).																																								
		ADEFTR 	 Transient fuel threshold to update adaptive fuel.																																								
		ADEGCT 	 Number of EGO switches  required  to  permit  Adaptive  Learning within the cell boundaries.																																								
		AELIM 	" Maximum acceleration  enrichment  fuel  flow  to  allow  adaptive learning, lb/hr."																																								
		AFACT1 	" Minimum ACT to Update Adaptive Fuel Table, deg F."																																								
		AFACT2 	" Maximum ACT to Update Adaptive Fuel Table, deg F."																																								
		AMPMUL 	 Multiplier to determine LAMWIN from PTPAMP.																																								
		DELAMB 	 Deadband (around LAMBSE = 1.0) within which loop counter  values are not altered.																																								
		DELCOL 	 Calibration constant (normalized engine speed N) which  provides the  ability  to  lock  out  table  updates  under  transient conditions; establishes  an  operating  range  (engine  speed)   within   which   the appropriate loop counter may be incremented.																																								
		DELROW 	 Same function as DELCOL but for normalized load MAPOPE.																																								
		FAEGCT 	 Fast Adaptive EGO count.  Number of  EGO  switches  required  to permit  adaptive  learning  when  KWUCTR < KWUCNT.  Should be set to 0 to permit fast adaptive learning for the first few warm-up cycles.																																								
		FN031 	 MAPOPE normalizing function used with both FN1325L and LTMTBL.																																								
		FN039 	 Engine Speed (N) normalizing function for FN1355.																																								
		FN070L 	" Normalizing function for N, used with FN1325L as well as LTMTBL."																																								
		FN1325Lrc 	 LTMTBL learning/use control table.																																								
		"FN1355 (N,MAP) "	" Amount of BIAS from stoichiometry,  units  are  lambdas. X-input  =  FN039  (Normalized  engine  speed,  rpm).   Y-input  =  FN025 (Normalized Manifold Absolute pressure, Inches Hg), Output  =  BIAS  from stoichiometry, lambdas."																																								
		HCAMSW 	" Calibration switch which allows the developer to select how  the adaptive fuel idle cells are to be used. If HCAMSW is set to 0, the adaptive fuel idle cells are used as  soon  as the filtered air mass region is entered (REFFLG = 1). If HCAMSW is set to 1, the adaptive fuel idle cells are used only when in the  filtered air mass region and no rpm adder above base idle is present (HCAMFG = 0).  This includes FN825A, FN825B, FN826, and BZZRPM."																																								
		KWUCNT 	 Maximum number of warm-up cycles to use fast adaptive EGO count. Should be set to approximately 3 to 5 warm-ups.																																								
		MAXADP 	 Maximum adaptive correction.																																								
		MINADP 	 Minimum adaptive correction.																																								
		MINPW 	 Minimum pulsewidth clip value.																																								
		RANMUL 	 Multiplier for random number generation.																																								
		VECT3 	" Minimum coolant temperature, engine on."																																								
		VECT5 	 Starting coolant temperature for warm-up counter.																																								
		AISFM 	 Multiplier on AISF when in DFSO (0 - 2).  Determines Fuel  Puddle size upon re-entering Normal Fuel.																																								
		ALPHA 	 Multiplier proportioning the dependency of ACT to ECT.																																								
		EFTC 	 TEFTC(FN1322) = an 8 X 10 table of equilibrium fuel transfer  time constants as a function of ALPHA * ACT + (1 - ALPHA) * ECT and MAP.																																								
		EISF 	 TEISF(FN1321) = an 8 X 10 table of fuel mass values as a  function of ALPHA * ACT + (1 - ALPHA) * ECT and MAP.																																								
		FN307(N_BYTE) 	 MTEFTC Multiplier as a function of N_BYTE.																																								
		FN1321(TEISF) 	 Equlibrium intake surface fuel function.																																								
		KFT 	" Multiplier (if set = 0, disables TFC) when not in MPG mode."																																								
		KFTMPG 	 Transient Fuel multiplier in MPG mode.																																								
		MEFTRA 	 Transient fuel PW multiplier during accels.																																								
		MEFTRD 	 Transient fuel PW multiplier during decels.																																								
		MTEISF 	 Multiplier for FN1321.																																								
		TFCBITS 	" Minimum  difference  in  Equilibrium  Intake  Surface  Fuel  to trigger  transient  fuel.   1  bit  =  0.000015259,  therefore  to have a deadband of 5 bits, set TFCBITS = 0.000076295. NOTE:  To see how many bits are contained in  the  desired  fuel  puddle, calculate   FN1321  *  MTEISF/0.000015259.   For  example,  if  FN1321  = 0.0014648, MTEISF = 0.0625, then the number of bits in the puddle  is  6. Thus  even  a  1  bit change would require an 18% TFCDED to eliminate it. TFCBITS resolves this issue when puddle values are extremely small."																																								
		TFCDED 	 Percentage deadband around Equilibrium Intake  Surface  Fuel  to turn off Transient Fuel.																																								
		TFCISW 	 Switch for Transient Fuel Control.																																								
		TFCTM 	" Time since entering Transient Fuel, sec."																																								
		TFRFSW 	 Trans fuel REFFLG enable switch; 0 = disable REFFLG logic.																																								
		FN1349 	 Fuel enrichment factor.  X = FN005(TEMP) Y = FN005(ACSTRT)																																								
		FN1348 	 Time multiplier.  X = FN008(ATMR3) Y = FN007(AM)																																								
		FN1350 	" CRANK fuel enrichment multiplier as a  function  of  ""number  of PIPs"" in CRANK and ACT.  X = FN023(CRKPIP_CTR) Y = FN024(ACT)"																																								
		FRCHIC 	" Fraction of ECT or ACT to use in FN1349.  If FRCHIC =  1.0,  all ACT is used, if FRCHIC = 0, all ECT is used."																																								
		CIBETA 	 Number of PIPs to delay Bank A from  rising  edge  of  Signature PIP.																																								
		PIPOUT 	 Number of PIP periods between injector outputs on each  injector port.																																								
		DELRAT 	 Throttle position adder to RATCH.  Used to describe  a  throttle position below which idle fuel modulation is enabled.																																								
		DLHYST 	 Hysteresis for DELRAT.																																								
		ISCMOD_MAX 	 Maximum clip on ISCMOD.  Limits the maximum  rich  excursion that will result from the idle fuel modulation strategy.																																								
		ISCMOD_MIN 	 Minimum clip on ISCMOD.  Limits the maximum  lean  excursion that will result from the idle fuel modulation strategy.																																								
		ISCMOD_RPM 	 Incremental adder to DSDRPM; total defines an  engine  speed below  which idle fuel modulation can occur.  Should be kept to a minimum to avoid unnecessary activation of the fuel modulation routine.																																								
		KDNDT 	 Gain term for idle fuel modulation.  Larger values result in more fuel  being  added when engine speed falls and more fuel being taken away when engine speed rises.  Too small a value results in unstable idle  and too large a value results in unnecessary A/F excursions at idle.																																								
		V_ISCMOD_MAX 	 VIP maximum clip on ISCMOD when  in  VIP  throttle  adjust mode.																																								
		V_ISCMOD_MIN 	 VIP minimum clip on ISCMOD when  in  VIP  throttle  adjust mode.																																								
		V_KDNDT 	 gain term for idle fuel modulation when in VIP Throttle  Adjust mode.																																								
		CTDSFO 	" Time at closed throttle for DFSO, sec."																																								
		CTEDSO 	" Time at extended decel for DFSO, sec."																																								
		DFNOVH 	" Hysteresis for DENOVS, rpm/mph."																																								
		DFNOVS 	 NOVS value below which DFSO is permitted.  Used to disable  DFSO in lower transmission gears to prevent large torque changes.																																								
		DFSECT 	" Minimum ECT to do DFSO, degrees F."																																								
		DFSMAP 	" Minimum MAP for DFSO.  Should be calibrated to  not  allow  DFSO when  the  engine is making power so as to minimize torque change at fuel shut off point, Hg."																																								
		DFSO_ECT 	 Ect above which TP based DFSO is allowed.																																								
		DFSO_OUT 	 Switch to disable DFSO under a throttle position faliure; 1 -> DFSO disabled.																																								
		DFSMPH 	" Hysteresis for DFSMAP, Hg."																																								
		DFSRPH 	 Hysteresis value for DFSRPM.																																								
		DFSRPM 	" Minimum value of (N - DSDRPM) for DFSO, rpm."																																								
		DFSTM 	" Time delay before DFSO, sec."																																								
		DFSVS 	" Minimum vehicle speed to allow  Decel  Fuel  Shut-Off.   Used  to limit  DFSO  when  in a high gear, low speed decel.  Also prevents use of DFSO in parking lots, etc, mph."																																								
		DFSVSH 	" Hysteresis value for DFSVS, mph."																																								
		D_TP_DT_F 	 TP tip out rate needed to trigger TP based DFSO (should never be  greater  that  zero).   TP  tip out can be turned off by setting this scalar to its maximum negative value.																																								
		FND_TP_DT_A 	 TP rate at which to activate air bypass.																																								
		FN222A(n) 	" The amount of time which thermactor air is shut off, sec."																																								
		FN222F(n) 	" The amount of time which DFSO is active, sec."																																								
		BFULSW 	" Calibration switch to force use  of  background  calculation  of fuel  pulsewidth;  1  -> do all fuel calculations in background, 0 -> use foreground fuel flag logic."																																								
		ENGCYL 	 Number of cylinders per engine revolution.																																								
		FN348(ECT) 	 Crank fuel pulsewidth as a function of ECT.																																								
		FN367(VBAT) 	 Injector offset as a function of VBAT.																																								
		FN387(ECT) 	 Fuel pulsewidth multiplier as a function of ECT.																																								
		FN387_ALT 	 Alternative FN387.																																								
		"FN1350(CRKPIP_CTR_BG,ACT) "	 Cranking  fuel  pulsewidth  multiplier  as  a function of number of PIPs in crank and air charge temperature.																																								
		FREQ18 	 Seconds to clock ticks conversion factor.  1 clock tick  =  3  * 10E-6 seconds.																																								
		INJOUT 	 Number of injectors fired by each output port.																																								
		MINPW 	 Minimum pulsewidth for repeatable fuel delivery.																																								
		NLMT 	 Overspeed RPM.																																								
		NLMTH 	 Hysteresis for overspeed RPM.																																								
		NUMOUT 	 Number of injector output ports.																																								
		OUTINJ 	" Injector scheme selection switch; 1 -> alternate  injections,  2 -> simultaneous injections."																																								
		TLSNV 	" Torque limiting pattern for engine RPM/vehicle speed, unitless."																																								
		TLS24D 	" Torque limiting pattern for 1/2 fuel, double fire, unitless."																																								
		TLS34D 	" Torque limiting pattern for 3/4 fuel, double fire, unitless."																																								
		TLS24S 	 Torque limiting pattern for 1/2 fuel - single fire.																																								
		TLS34S 	 Torque limiting pattern for 3/4 fuel - single fire.																																								
		TP_DECHOKE 	 TP value above which to de-choke.																																								
		TQMAX1 	 Maximum torque before 3/4 fuel.																																								
		TQMAX2 	 Maximum torque before 1/2 fuel.																																								
		TQMAXH 	 Hysteresis for TQMAX1.																																								
		VSLIM 	" Maximum vehicle speed, MPH."																																								
		VSLIMH 	" Hysteresis for maximum vehicle speed, MPH."																																								
		PIPNUM 	 Number of PIPs to remain in Open Loop fuel after DFSO.  Prevents LAMBSE  from ramping off rich due to normal transport delay time.  Set to 1 to calibrate out.																																								
		DT12S 	" The value, in clock ticks, of the current PIP period."																																								
		FFULC 	" The constant which is added in  the  foreground  fuel  pulsewidth equation, lb/cyl."																																								
		STALLN 	" Stall rpm:  If the first rpm calculated  is  greater  than  this value, then assume a reinit occurred, rpm."																																								
		CSHIGH 	" Maximum TCSTRT for cold start spark, deg F."																																								
		CSLOW 	" Minimum TCSTRT for cold start spark, deg F."																																								
		CSSPRK 	" Cold start spark multiplier, unitless."																																								
		CSSTIM 	" Maximum time to use cold start spark, sec."																																								
		DELTA_SPK 	" Deadband to determine when spark  transitions  are  complete, deg BTDC."																																								
		DFTRPM 	" Maximum engine rpm to issue spark on the rising edge of PIP when at WOT, RPM."																																								
		DFTRPH 	" Hystersis term for DFTRPM, RPM."																																								
		DRBASE 	" Base desired engine idle speed in drive, RPM."																																								
		DRBASE_ALT 	 Alternative Cal DRBASE.																																								
		ENGCYL 	 Number of PIP up edges per revolution; (number of cylinders/2).																																								
		ENTRY_T 	" Time threshold for entry into feedback spark, sec."																																								
		FBS_MIN 	" Minimum clip on SAF in states 1 and 2, deg BTDC."																																								
		FBS_MIN_ALT 	 Alternative Cal FBS_MIN.																																								
		FKEXIT_MAX 	" Maximum clip for FKEXIT, SPK_EXIT filter constant, unitless."																																								
		FKEXIT_MIN 	" Minimum clip for FKEXIT, SPK_EXIT filter constant, unitless."																																								
		FN070(N) 	" RPM normalizing function for FN1120, FN1121,  FN1122,  FN1126, FN1127 and FN1129."																																								
		FN071(MAP) 	" MAP normalizing function for FN1120, FN1121, FN1122, FN1126, FN1127 and FN1129."																																								
		FN091(TEMP_FRAC) 	"  TEMP_FRAC  normalizing  function  for  FN1128,  where TEMP_FRAC = FRCCTM * ACT + (1 - FRCCTM) * ECT."																																								
		FN092(TP - TAPBAR) 	 TP - TAPBAR normalizing function for FN1128.																																								
		FN151(ECT) 	 Octane Table (FN1122) multiplier vs.  ECT.																																								
		FN152(ACT) 	 Octane Table (FN1122) multiplier vs.  ACT.																																								
		FN153(N) 	 WOT Spark Adder for Fuel Enrichment (APT = 1) vs engine speed.																																								
		FN180(IDLTMR) 	 Spark reduction vs.  time at idle (IDLTMR).  Used as part of the inspection/maintenance strategy.																																								
		FN182(DNDT_SPK) 	 Oscillation mode spark  adder  vs  rate  of  change  of engine speed.																																								
		FN183(VSBAR) 	 Multiplier on oscillation  mode  spark  adder  (FN182)  vs VSBAR.																																								
		FN839(DASPOT) 	 Decel spark multiplier as a function of dashpot air flow.																																								
		"FN1120(N,MAP) "	" Base MBT Spark Table, deg BTDC."																																								
		"FN1121(N,MAP) "	" Spark Advance Adder Table for EGR, deg BTDC per 1% EGR."																																								
		"FN1122(N,MAP) "	" Spark Advance Reduction Table for Octane, deg BTDC."																																								
		"FN1126(N,MAP) "	" Base spark table for MPG mode, deg BTDC."																																								
		"FN1127(N,MAP) "	 Spark Advance  Adder  Table  for  Cold  Temperatures  and tip-ins.																																								
		FN1128 	 Multiplier for FN1127 vs TEMP_FRAC and TP - TAPBAR																																								
		"FN1129(N,MAP) "	" Spark Advance Adder Table for EGR in MPG mode,  deg  BTDC per 1_% EGR."																																								
		FN1150 	" Spark octane multiplier of FN1122(N,MAP); inputs are  FN051(ECT) and FN052(ACT)."																																								
		FN1150_ALT 	 Alternate FN1150.																																								
		FRCCTM 	 ACT/ECT proportioning factor for temperature input to FN1128.																																								
		KS1 	" Spark Adder, deg BTDC."																																								
		KSPKDO 	" Feedback spark gain - Drive/speed high, deg BTDC/RPM."																																								
		KSPKDU 	" Feedback spark gain - Drive/speed low, deg BTDC/RPM."																																								
		KSPKNO 	" Feedback spark gain - Neutral/speed high, deg BTDC/RPM."																																								
		KSPKNU 	" Feedback spark gain - Neutral/speed low, deg BTDC/RPM."																																								
		MINMPH 	" Minimum speed to enter Closed Loop RPM control and  do  feedback spark control, MPH.  ..Typical value - 3 MPH."																																								
		NUBASE 	" Base desired engine idle speed in neutral, RPM."																																								
		NUBASE_ALT 	 Alternative Cal NUBASE.																																								
		OSCDLY 	" OSCMOD disable time after large negative change in TP, secs."																																								
		SPKCTL 	" Maximum difference between DSDRPM and  DRBASE/NUBASE  to  enable spark feedback, RPM."																																								
		SPKCTL_ALT 	 Alternative Cal SPKCTL.																																								
		SPKIDR 	" Nominal feedback spark operating point in drive, deg BTDC."																																								
		SPKIDR_ALT 	 Alternative Cal SPKIDR.																																								
		SPKINU 	" Nominal feedback spark operating point in neutral, deg BTDC."																																								
		SPKINU_ALT 	 Alternative Cal SPKINU.																																								
		SPK_RUNUP 	" Value used for SAF after entering RUN mode and before initial runup is complete, deg BTDC."																																								
		SPLCLP 	" Lower spark clip for  total  spark  advance  (SAFTOT,  including knock and TIPRET terms), deg BTDC."																																								
		SPKLIM 	" Percent of ""crank degrees between PIPs"" used  to  determine  the maximum  spark advance increase allowed between consecutive spark events. Do NOT calibrate higher than 0.06 without Ignition  Department  approval. Maximum  spark  advance increase between events varies with the number of cylinders; Maximum increase = SPKLIM * 360/ENGCYL. For 4 cyl; 0.06 * 360/2 = 10.8 degrees 6 cyl; 0.06 * 360/3 =  7.2 degrees 8 cyl; 0.06 * 360/4 =  5.4 degrees"																																								
		SPUCLP 	" Upper spark clip for  total  spark  advance  (SAFTOT,  including knock and TIPRET terms), deg BTDC."																																								
		STTIM 	" Time after transition into SPK_STATE ""1"" when TRANS_T will  equal 1.0,  sec.   Controls  rate  at  which  feedback  spark  is  included  in SPK_ENTRY."																																								
		TARMAX 	 Maximum TAR to ramp into normal spark.   deg/sec.   Higher  TARs will cause SAF to jump to SPK_NORM.																																								
		TCFBS 	" Time constant for RPMERR_S rolling average filter, sec."																																								
		TCRAMP 	" Time constant for SPK_RAMP rolling average filter, sec."																																								
		TPDLMX 	" Maximum filtered TP change for oscillation mode spark, counts."																																								
		TPOBP2 	" Maximum TP_REL for oscillation mode spark, counts."																																								
		TPOH2 	" Hysteresis for TPOBP2, counts."																																								
		Y 	" Calibration development spark multiplier, unitless."																																								
		VSOMAX 	" Maximum VSBAR for oscillation mode spark, MPH."																																								
		VSOMXH 	" Hysteresis for VSOMAX, MPH."																																								
		DWELLA 	 Base Dwell additive element.																																								
		DWELLM 	 Base Dwell multiplicative element.																																								
		DWLMIN 	 Minimum dwell allowed.																																								
		DWL_XS_MIN 	 Minimum excess dwell in falling edge dwell.																																								
		IGN_TYPE 	" Indicator of ignition type  (0  =  TFI,  1  =  TFI_ICCD,  2  = LDR-DIS)."																																								
		PACOFF 	 Offset in RPM-PIP accel bata function.																																								
		PACPER 	 PIP period time switchpoint for change between PIPACL equations.																																								
		VBAT_DWELL 	 Minimum battery voltage to use IDM for dwell correction.																																								
		VBAT_DWL_HYS 	 Battery voltage  to  enable  the  use  of  IDM  for  dwell correction.																																								
		DWLMAX 	 Maximum dwell allowed.																																								
		DWLTSW 	 Time switchpoint for maximum percentage dwell.																																								
		MINDLA 	 Maximum percent of PIP period not charging coil for PIP  periods greater than DWLTSW.																																								
		MINDLB 	 Maximum percent of PIP period not charging coil for PIP  periods less than DWLTSW.																																								
		PACLIM 	 PIP period acceleration factor for dwell.																																								
		PACSLO 	 Slope in RPM-PIP accel beta function.																																								
		SPKLIM 	" Percent of ""crank degrees between PIPs"" used  to  determine  the maximum  spark advance increase allowed between consecutive spark events. Do NOT calibrate higher than 0.06 without Ignition  Department  approval. Maximum  spark  advance increase between events varies with the number of cylinders; Maximum increase = SPKLIM * 360/ENGCYL. For 4 cyl; 0.06 * 360/2 = 10.8 degrees 6 cyl; 0.06 * 360/3 = 7.2 degrees 8 cyl; 0.06 * 360/4 = 5.4 degrees"																																								
		ENGCYL 	 The number of cylinders in one engine revolution.																																								
		FKMKAY 	 Filter constant of update rate to MKAY.																																								
		FKSKAY 	 Filter constant of update rate to SIGKAL.																																								
		IGN_TYPE 	" Indicator of ignition type  (0  =  TFI,  1  =  TFI-ICCD,  2  = LDR-DIS-DP, 3 = LDR-DIS, and 4 = HDR-DIS)."																																								
		KLLIM 	 Lowest value for MKAY multiplier - initial value = 0.9.																																								
		KULMT 	 Highest value for MKAY multiplier - initial value = 1.1.																																								
		SIGKLL 	 Lowest value for signature PIP  multiplier  -  initial  value  = 1.42857  for  30%  duty  cycle signature PIP = 1.25000 for 35% duty cycle signature PIP.																																								
		SIGKLU 	 Highest value for signature PIP multiplier  -  initial  value  = 1.99996  for  30%  duty  cycle signature PIP = 1.66666 for 35% duty cycle signature PIP.																																								
		SSFCTR 	 Steady state factor for MKAY and signature KAY calculations.																																								
		SKSSLC 	 Steady state factor for Signature Kay calculation.																																								
		DFMIN0 	 Minimum number of TS0FLG 1 to 0 state changes.																																								
		DFMIN1 	 Minimum number of TS0FLG 0 to 1 state changes.																																								
		TRSRPM 	 Minimum RPM to enable transient spark routine.																																								
		TRSRPH 	 Hysteresis for TRSRPM.																																								
		SPKLIM 	 The maximum percentage of a PIP period by which the spark may be advanced between two outputs.																																								
		EGRDED 	" EVP breakpoint above/below EOFF  to  determine  open/closed  EGR valve and if EOFF has learned closed valve position, counts."																																								
		EGRTD1 	" Hot Start Time Delay before enabling EGR, secs.  Low mileage."																																								
		EGRTD2 	" Time delay before enabling EGR when the coolant  temperature  at Start-up was in the mid-range, sec.  Low mileage."																																								
		EGRTD3 	" Cold Start Time delay before  enabling  EGR  after  the  coolant temperature exceeds TEMPFB, sec.  Low mileage."																																								
		EGRTD4 	" Hot Start Time delay before enabling EGR, secs.  High mileage or no IMS."																																								
		EGRTD5 	" Time delay before enabling EGR when the coolant temp at start-up was in the mid-range, secs.  High mileage or no IMS."																																								
		EGRTD6 	 Cold Start Time delay before enabling EGR after the coolant temp exceeds TEMPFB sec.  High mileage or no IMS.																																								
		EGRTD8 	 Time delay at part throttle before EGR enabled.																																								
		EGRTB1 	" Throttle angle breakpoint to disable EGR, counts."																																								
		EGTB1H 	" Hysteresis for EGR disable throttle angle, counts."																																								
		CTHIGH 	" Hot Start Engine Coolant Temperature, deg F."																																								
		CTLOW 	" Cold Start Engine Coolant Temperature, deg F."																																								
		MAP_WOT_EGRC 	 MAP below which WOT EGR is disabled.																																								
